time,price,quantity
08:37:00.005833,23273.0,-1,START_SELL
08:52:00.007142,23286.25,1,PNL2_FLATTEN
11:49:00.002637,23191.25,-1,START_SELL
12:04:00.000001,23181.25,-1,ADD2_SELL
12:14:00.000001,23201.75,2,PNL3_FLATTEN
12:15:00.000001,23204.25,-1,START_SELL
12:24:00.000001,23211.0,1,SIGNAL_FLATTEN
12:37:00.004309,23209.5,-1,START_SELL
12:40:00.019238,23221.0,1,SIGNAL_FLATTEN
12:47:00.006847,23199.25,-1,START_SELL
13:02:00.002173,23210.75,1,PNL2_FLATTEN
13:09:00.000001,23202.5,-1,START_SELL
