time,price,quantity
08:26:04.417682,,0,MARKET_FLATTEN
08:26:17.631164,,0,PROGRAM_FLATTEN
08:26:22.008444,,0,MARKET_FLATTEN
08:26:45.307427,,0,PROGRAM_FLATTEN
08:27:32.277962,,0,MARKET_FLATTEN
08:31:17.172267,,0,PROGRAM_FLATTEN
08:47:55.899176,,0,PROGRAM_FLATTEN
09:07:07.028774,,0,PROGRAM_FLATTEN
09:35:00.055870,22923.0,1,START_BUY
09:50:00.090572,22900.5,-1,PNL2_FLATTEN
09:55:00.072579,22863.5,-1,START_SELL
10:10:00.406059,22906.5,1,PNL2_FLATTEN
10:48:00.247650,22892.0,1,START_BUY
10:52:00.187789,22893.5,-1,EXIT-SIGNAL
10:58:00.096581,22904.75,1,START_BUY
11:00:00.065939,22905.75,-1,EXIT-SIGNAL
11:04:00.104342,22909.25,1,START_BUY
11:11:26.488339,22915.0,-1,PROGRAM_FLATTEN
11:12:28.010325,,0,PROGRAM_FLATTEN
11:14:17.194739,,0,PROGRAM_FLATTEN
11:18:00.000001,22916.0,1,START_BUY
11:27:57.831408,22958.25,-1,PROGRAM_FLATTEN
11:29:00.000001,22951.5,1,START_BUY
11:32:19.317812,22942.75,-1,PROGRAM_FLATTEN
11:33:00.000001,22935.75,1,START_BUY
11:34:00.000001,22928.25,-1,EXIT-SIGNAL
11:36:00.000001,22898.25,-1,START_SELL
11:42:00.000001,22916.25,1,EXIT-SIGNAL
11:46:00.000001,22914.25,1,START_BUY
12:01:00.000001,22910.25,-1,PNL2_FLATTEN
12:09:00.000001,22908.5,-1,START_SELL
12:11:00.000001,22913.0,1,EXIT-SIGNAL
12:16:00.000001,22903.25,-1,START_SELL
12:24:00.000001,22907.5,1,EXIT-SIGNAL
12:26:00.000001,22899.25,1,START_BUY
12:41:00.000001,22901.0,1,ADD2_BUY
12:42:00.000001,22896.25,-2,PNL2_FLATTEN
12:55:00.000001,22930.0,1,START_BUY
13:10:00.000001,22935.5,1,ADD2_BUY
13:20:00.000001,22930.5,1,ADD3_BUY
13:21:00.000001,22923.0,-3,EXIT-SIGNAL
13:23:00.000001,22920.0,-1,START_SELL
13:38:00.000001,22913.25,-1,ADD2_SELL
13:46:00.000001,22901.0,2,EXIT-SIGNAL
13:48:00.000001,22902.25,1,START_BUY
13:54:00.000001,22899.25,-1,EXIT-SIGNAL
13:56:00.000001,22906.25,-1,START_SELL
14:11:00.000001,22876.0,-1,ADD2_SELL
14:21:00.000001,22891.5,-1,ADD3_SELL
14:26:00.000001,22881.25,-1,ADD4_SELL
