time,price,quantity
08:30:00.000172,23257.75,1,START_BUY
08:45:00.000001,23338.75,1,ADD2_BUY
08:55:00.011191,23374.25,1,ADD3_BUY
09:00:00.000001,23375.75,1,ADD4_BUY
09:05:00.000001,23393.75,1,ADD5_BUY
13:14:00.002055,23403.25,-5,SIGNAL_FLATTEN
13:23:00.000001,23416.5,-1,START_SELL
13:37:00.016097,23408.25,1,SIGNAL_FLATTEN
13:41:00.000001,23408.25,-1,START_SELL
13:56:00.000001,23393.0,-1,ADD2_SELL
14:06:00.009654,23383.25,-1,ADD3_SELL
14:11:00.000001,23365.5,-1,ADD4_SELL
14:16:00.000001,23374.0,-1,ADD5_SELL
14:59:00.000001,23337.5,5,MARKET_FLATTEN
