time,price,quantity
08:30:00.000073,23343.0,-1,START_SELL
08:45:00.000001,23278.25,-1,ADD2_SELL
08:55:00.000001,23130.25,-1,ADD3_SELL
09:00:00.002554,23141.5,-1,ADD4_SELL
09:05:00.000001,23133.25,-1,ADD5_SELL
10:00:00.002016,23224.5,5,SIGNAL_FLATTEN
10:03:00.002402,23210.75,1,START_BUY
10:18:00.009102,23201.75,-1,PNL2_FLATTEN
11:06:00.000001,23212.0,1,START_BUY
11:21:00.000001,23212.75,1,ADD2_BUY
11:26:00.000001,23186.25,-2,SIGNAL_FLATTEN
11:30:00.000001,23172.5,-1,START_SELL
11:45:00.000001,23176.0,1,PNL2_FLATTEN
12:28:00.002430,23234.0,1,START_BUY
12:43:00.000845,23219.25,-1,PNL2_FLATTEN
13:23:00.013758,23214.25,1,START_BUY
13:25:00.000980,23210.5,-1,SIGNAL_FLATTEN
13:28:00.002121,23222.5,1,START_BUY
13:43:00.000001,23240.25,1,ADD2_BUY
13:53:00.019996,23249.25,1,ADD3_BUY
13:58:00.000001,23251.5,1,ADD4_BUY
14:03:00.000001,23247.0,1,ADD5_BUY
14:59:00.000001,23244.25,-5,MARKET_FLATTEN
