time,price,quantity
13:57:27.529442,TEST,2345075.0,1,
13:58:05.383087,FLATTEN-ProgramClose,2344825.0,-1,
14:10:25.301801,TEST,2344700.0,1,
14:22:00.000192,,2345175.0,1,
14:24:36.255141,FLATTEN-ProgramClose,2345025.0,-1,
14:26:00.000415,START_BUY,2344575.0,1,
14:40:52.043418,FLATTEN-ProgramClose,2344650.0,-1,
14:46:00.002137,START_BUY,2343875.0,1,
14:46:08.462035,FLATTEN-ProgramClose,2343925.0,-1,
14:47:00.001315,START_BUY,2344275.0,1,
14:47:00.711877,FLATTEN-ProgramClose,2344200.0,-1,
14:48:00.000753,START_BUY,2344150.0,1,
14:49:02.364380,FLATTEN-ProgramClose,2344100.0,-1,
14:54:00.004406,START_BUY,2342850.0,1,
14:57:43.304903,FLATTEN-ProgramClose,2342275.0,-1,
15:01:00.000468,START_BUY,2342050.0,1,
15:02:45.403278,FLATTEN-ProgramClose,2341950.0,-1,
