time,price,quantity
08:30:00.000161,23200.5,1,START_BUY
08:35:00.000001,23161.75,-1,EXIT-SIGNAL
08:40:00.000001,23153.75,-1,START_SELL
08:55:00.000001,23153.5,-1,ADD2_SELL
09:05:00.000001,23134.5,-1,ADD3_SELL
09:10:00.000001,23163.0,3,PNL4_FLATTEN
09:11:00.000001,23171.0,-1,START_SELL
09:26:00.000001,23165.75,-1,ADD2_SELL
09:36:00.000001,23174.25,2,PNL3_FLATTEN
09:37:00.000001,23163.5,-1,START_SELL
09:52:00.000001,23124.0,-1,ADD2_SELL
10:02:00.000001,23112.0,-1,ADD3_SELL
10:07:00.000001,23124.25,-1,ADD4_SELL
10:12:00.000001,23141.25,4,PNL5_FLATTEN
10:13:00.000001,23144.0,-1,START_SELL
10:28:00.000001,23163.75,1,PNL2_FLATTEN
10:42:00.000001,23163.75,1,START_BUY
10:45:00.000001,23163.75,-1,EXIT-SIGNAL
10:52:00.000001,23169.5,-1,START_SELL
11:07:00.000001,23166.25,-1,ADD2_SELL
11:17:00.000001,23150.0,-1,ADD3_SELL
11:22:00.000001,23151.5,-1,ADD4_SELL
11:27:00.000001,23137.75,-1,ADD5_SELL
14:41:00.000001,23105.0,5,EXIT-SIGNAL
14:46:00.000001,23105.0,-1,START_SELL
14:59:00.000001,23073.75,1,MARKET_FLATTEN
