time,price,quantity
08:30:00.000070,22943.5,-1,START_SELL
08:45:00.000001,22854.25,-1,ADD2_SELL
08:55:00.000001,22931.5,-1,ADD3_SELL
09:00:00.000001,22911.25,-1,ADD4_SELL
09:05:00.000001,22934.0,-1,ADD5_SELL
09:08:00.000001,22936.5,5,EXIT-SIGNAL
09:12:00.000001,22935.75,1,START_BUY
09:13:00.000001,22916.75,-1,EXIT-SIGNAL
09:18:00.000001,22960.75,1,START_BUY
09:28:00.000001,22946.75,-1,EXIT-SIGNAL
09:30:00.000001,22939.75,-1,START_SELL
09:41:00.000001,22943.75,1,EXIT-SIGNAL
09:45:00.000001,22958.0,1,START_BUY
10:10:00.000001,23005.75,1,START_BUY
10:25:00.000001,23000.25,-1,PNL2_FLATTEN
13:12:00.000001,23044.75,1,START_BUY
13:27:00.000001,23049.75,1,ADD2_BUY
13:37:00.000001,23046.25,-2,PNL3_FLATTEN
13:38:00.000001,23045.5,1,START_BUY
13:53:00.000001,23053.75,1,ADD2_BUY
14:03:00.000001,23054.0,1,ADD3_BUY
14:08:00.000001,23052.25,1,ADD4_BUY
14:13:00.000001,23041.75,-4,PNL5_FLATTEN
14:14:00.000001,23043.25,1,START_BUY
14:29:00.000001,23045.5,1,ADD2_BUY
14:39:00.000001,23029.0,-2,PNL3_FLATTEN
14:40:00.000001,23030.25,1,START_BUY
14:55:00.000001,23035.75,1,ADD2_BUY
14:59:00.000001,23039.5,-2,MARKET_FLATTEN
