time,price,quantity
08:30:00.000066,22915.25,1,START_BUY
08:38:00.000001,22895.0,-1,EXIT-SIGNAL
08:40:00.000001,22892.5,-1,START_SELL
08:49:00.000001,22927.0,1,EXIT-SIGNAL
08:51:00.000001,22942.25,1,START_BUY
09:06:00.000001,22961.75,1,ADD2_BUY
09:16:00.000001,22975.0,1,ADD3_BUY
09:21:00.000001,22983.0,1,ADD4_BUY
09:26:00.000001,22995.5,1,ADD5_BUY
10:15:00.000001,22915.25,-5,EXIT-SIGNAL
10:17:00.000001,22928.25,-1,START_SELL
10:20:00.000001,22936.0,1,EXIT-SIGNAL
10:23:00.000001,22953.75,1,START_BUY
10:38:00.000001,22969.5,1,ADD2_BUY
10:48:00.000001,22992.0,1,ADD3_BUY
10:53:00.000001,22982.75,1,ADD4_BUY
10:57:00.000001,22964.25,-4,EXIT-SIGNAL
11:02:00.000001,22990.25,1,START_BUY
11:08:00.000001,22964.75,-1,EXIT-SIGNAL
11:15:00.000001,22974.75,-1,START_SELL
11:17:00.000001,22992.75,1,EXIT-SIGNAL
11:20:00.000001,22968.75,-1,START_SELL
11:31:00.000001,22998.0,1,EXIT-SIGNAL
11:40:00.000001,22990.75,1,START_BUY
11:55:00.000001,22995.0,1,ADD2_BUY
12:05:00.000001,23008.5,1,ADD3_BUY
12:10:00.000001,23013.75,1,ADD4_BUY
12:15:00.000001,23008.5,1,ADD5_BUY
14:03:00.000001,22969.25,-5,EXIT-SIGNAL
14:05:00.000001,22957.75,-1,START_SELL
14:10:00.000001,22970.5,1,EXIT-SIGNAL
14:12:00.000001,22967.0,1,START_BUY
14:27:00.000001,22990.5,1,ADD2_BUY
14:32:00.000001,22970.5,-2,EXIT-SIGNAL
14:35:00.000001,22979.75,1,START_BUY
14:41:00.000001,22972.25,-1,EXIT-SIGNAL
14:48:00.000001,22970.0,1,START_BUY
14:51:00.000001,22962.25,-1,EXIT-SIGNAL
14:53:00.000001,22970.0,-1,START_SELL
14:59:00.000001,22962.25,1,MARKET_FLATTEN
14:59:00.000001,22962.0,-1,START_SELL
15:02:00.008205,22962.25,1,PROGRAM_FLATTEN
