time,price,quantity
08:30:00.000068,23073.75,-1,START_SELL
08:45:00.000001,23012.5,-1,ADD2_SELL
08:55:00.000001,22965.0,-1,ADD3_SELL
09:00:00.000001,22968.25,-1,ADD4_SELL
09:05:00.000001,22971.0,-1,ADD5_SELL
09:51:00.000001,23027.0,5,EXIT-SIGNAL
09:58:00.000001,22992.5,1,START_BUY
09:59:00.000001,22966.25,-1,EXIT-SIGNAL
10:02:00.000001,23005.0,1,START_BUY
10:17:00.000001,22979.5,-1,EXIT-SIGNAL
10:21:00.000001,22935.0,-1,START_SELL
10:36:00.000001,22874.75,-1,ADD2_SELL
10:46:00.000001,22940.5,2,PNL3_FLATTEN
10:47:00.000001,22924.75,-1,START_SELL
10:55:00.000001,22949.25,1,EXIT-SIGNAL
10:57:00.000001,23000.75,1,START_BUY
11:12:00.000001,22987.75,-1,PNL2_FLATTEN
13:10:00.000001,23029.75,1,START_BUY
13:25:00.000001,23038.0,1,ADD2_BUY
13:35:00.000001,23049.25,1,ADD3_BUY
13:40:00.000001,23057.75,1,ADD4_BUY
13:45:00.000001,23061.25,1,ADD5_BUY
14:59:00.000001,23080.75,-5,MARKET_FLATTEN
