time,price,quantity
2025-08-12 08:30:00.000826,2373225.0,-1,FW077,
2025-08-12 08:45:00.002176,2373825.0,1,FW077,
2025-08-12 08:46:00.000749,2374425.0,-1,FW077,
2025-08-12 09:01:00.001435,2460625.0,1,FW077,
2025-08-12 09:01:00.001489,2460625.0,-1,FW078,
2025-08-12 09:01:00.001531,233880000.0,1,FW077,
2025-08-12 09:01:00.002681,228272500.0,2,FW077,
2025-08-12 09:01:00.002747,2362800.0,-1,FW077,
2025-08-12 09:11:00.001034,2368525.0,-1,FW077,
2025-08-12 09:13:03.580981,2368225.0,-1,FW077,
2025-08-12 09:13:03.581062,2368375.0,1,FW078,
2025-08-12 09:14:00.001222,2369950.0,-1,FW077,
2025-08-12 09:29:00.002397,2375575.0,1,FW077,
2025-08-12 09:36:00.025918,2376275.0,-1,FW077,
2025-08-12 09:40:00.002123,2376350.0,1,FW077,
2025-08-12 09:42:00.001230,2375175.0,1,FW077,
2025-08-12 10:03:56.818628,2379175.0,-1,FW077,
2025-08-12 10:05:00.001010,2379125.0,1,FW077,
2025-08-12 10:10:17.928797,2381650.0,1,FW078,
2025-08-12 10:20:00.004197,2384875.0,1,FW077,
2025-08-12 10:30:00.001700,-9223372036.854776,-2,FW077,
2025-08-12 10:30:12.461787,-9223372036.854776,-1,FW077,
2025-08-12 10:35:00.002095,2384750.0,1,FW077,
2025-08-12 10:40:00.001239,2385600.0,1,FW077,
2025-08-12 13:49:05.679879,2391350.0,-1,FW077,
2025-08-12 13:49:05.681002,2391350.0,-1,FW078,
2025-08-12 13:53:00.002250,2391200.0,1,FW077,
2025-08-12 13:53:29.399849,2391100.0,-1,FW077,
2025-08-12 13:55:00.001321,2391225.0,1,FW077,
2025-08-12 13:55:03.655462,2391200.0,-1,FW077,
2025-08-12 13:57:00.000864,2390875.0,1,FW077,
2025-08-12 13:57:01.922882,2390900.0,-1,FW077,
2025-08-12 13:58:00.000627,2390900.0,1,FW077,
2025-08-12 13:58:01.996130,2390850.0,-1,FW077,
2025-08-12 14:33:47.379380,2392875.0,1,FW078,
2025-08-12 14:34:00.000743,2392800.0,1,FW077,
2025-08-12 14:36:19.031085,2428700.0,1,FW078,
2025-08-12 14:36:19.031134,2428700.0,-1,FW077,
2025-08-12 14:36:54.774950,2393650.0,-2,FW078,
2025-08-12 14:36:58.904844,2393675.0,1,FW078,
2025-08-12 14:37:00.001221,2393675.0,1,FW077,
2025-08-12 14:37:26.898559,2429550.0,1,FW078,
2025-08-12 14:37:26.898610,2429550.0,-1,FW077,
