time,price,quantity
2025-08-13 08:28:28.466226,2404050.0,-2,FW078,
2025-08-13 08:30:00.001456,2404500.0,1,FW077,
2025-08-13 08:45:00.002809,2496025.0,1,FW077,
2025-08-13 08:45:00.002853,2496025.0,-1,FW077,
2025-08-13 08:45:00.002889,244052500.0,1,FW077,
2025-08-13 08:45:00.002968,249602500.0,2,FW077,
2025-08-13 08:45:00.003022,2404575.0,1,FW077,
2025-08-13 08:45:29.809720,2404050.0,-3,FW077,
2025-08-13 08:45:29.818209,2404050.0,-2,FW077,
2025-08-13 08:53:00.002797,2405525.0,1,FW077,
2025-08-13 09:01:00.002712,2400350.0,-1,FW077,
2025-08-13 09:04:00.001023,2400025.0,-1,FW077,
2025-08-13 09:06:00.002155,2400375.0,1,FW077,
2025-08-13 09:13:00.001531,2398725.0,-1,FW077,
2025-08-13 09:28:00.024077,236277500.0,2,FW077,
2025-08-13 09:28:17.222887,230715000.0,2,FW077,
2025-08-13 09:28:24.017604,2396175.0,-3,FW077,
